"Statistic Label","Year","Sex","County","Age Group","Cause of Death","UNIT","VALUE"
"Age-standardised mortality rate","2023","Both sexes","Co. Wicklow","0 - 74 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Both sexes","Co. Wicklow","65 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Both sexes","Co. Wicklow","75 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Both sexes","Co. Wicklow","All ages","Accidents","Rate",""
"Age-standardised mortality rate","2023","Both sexes","Co. Westmeath","0 - 64 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Both sexes","Co. Westmeath","0 - 74 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Both sexes","Co. Westmeath","65 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Both sexes","Co. Westmeath","75 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Both sexes","Co. Westmeath","All ages","Accidents","Rate",""
"Age-standardised mortality rate","2023","Both sexes","Co. Wexford","0 - 64 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Both sexes","Co. Wexford","0 - 74 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Both sexes","Co. Wexford","65 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Both sexes","Co. Wexford","75 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Both sexes","Co. Wexford","All ages","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Ireland","0 - 64 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Ireland","0 - 74 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Ireland","65 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Ireland","75 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Ireland","All ages","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Clare","0 - 64 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Clare","0 - 74 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Clare","65 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Clare","75 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Clare","All ages","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Cork","0 - 64 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Cork","0 - 74 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Cork","65 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Cork","75 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Cork","All ages","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Cavan","0 - 64 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Cavan","0 - 74 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Cavan","65 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Cavan","75 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Cavan","All ages","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Carlow","0 - 64 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Carlow","0 - 74 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Carlow","65 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Carlow","75 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Carlow","All ages","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Donegal","0 - 64 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Donegal","0 - 74 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Donegal","65 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Donegal","75 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Donegal","All ages","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Dublin","0 - 64 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Dublin","0 - 74 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Dublin","65 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Dublin","75 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Dublin","All ages","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Galway","0 - 64 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Galway","0 - 74 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Galway","65 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Galway","75 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Galway","All ages","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Kildare","0 - 64 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Kildare","0 - 74 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Kildare","65 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Kildare","75 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Kildare","All ages","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Kilkenny","0 - 64 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Kilkenny","0 - 74 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Kilkenny","65 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Kilkenny","75 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Kilkenny","All ages","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Kerry","0 - 64 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Kerry","0 - 74 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Kerry","65 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Kerry","75 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Kerry","All ages","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Longford","0 - 64 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Longford","0 - 74 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Longford","65 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Longford","75 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Longford","All ages","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Louth","0 - 64 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Louth","0 - 74 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Louth","65 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Louth","75 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Louth","All ages","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Limerick","0 - 64 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Limerick","0 - 74 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Limerick","65 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Limerick","75 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Limerick","All ages","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Leitrim","0 - 64 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Leitrim","0 - 74 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Leitrim","65 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Leitrim","75 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Leitrim","All ages","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Laois","0 - 64 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Laois","0 - 74 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Laois","65 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Laois","75 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Laois","All ages","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Meath","0 - 64 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Meath","0 - 74 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Meath","65 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Meath","75 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Meath","All ages","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Monaghan","0 - 64 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Monaghan","0 - 74 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Monaghan","65 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Monaghan","75 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Monaghan","All ages","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Mayo","0 - 64 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Mayo","0 - 74 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Mayo","65 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Mayo","75 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Mayo","All ages","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Offaly","0 - 64 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Offaly","0 - 74 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Offaly","65 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Offaly","75 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Offaly","All ages","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Roscommon","0 - 64 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Roscommon","0 - 74 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Roscommon","65 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Roscommon","75 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Roscommon","All ages","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Sligo","0 - 64 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Sligo","0 - 74 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Sligo","65 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Sligo","75 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Sligo","All ages","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Tipperary","0 - 64 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Tipperary","0 - 74 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Tipperary","65 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Tipperary","75 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Tipperary","All ages","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Waterford","0 - 64 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Waterford","0 - 74 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Waterford","65 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Waterford","75 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Waterford","All ages","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Wicklow","0 - 64 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Wicklow","0 - 74 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Wicklow","65 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Wicklow","75 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Wicklow","All ages","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Westmeath","0 - 64 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Westmeath","0 - 74 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Westmeath","65 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Westmeath","75 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Westmeath","All ages","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Wexford","0 - 64 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Wexford","0 - 74 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Wexford","65 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Wexford","75 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Male","Co. Wexford","All ages","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Ireland","0 - 64 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Ireland","0 - 74 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Ireland","65 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Ireland","75 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Ireland","All ages","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Clare","0 - 64 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Clare","0 - 74 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Clare","65 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Clare","75 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Clare","All ages","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Cork","0 - 64 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Cork","0 - 74 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Cork","65 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Cork","75 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Cork","All ages","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Cavan","0 - 64 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Cavan","0 - 74 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Cavan","65 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Cavan","75 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Cavan","All ages","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Carlow","0 - 64 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Carlow","0 - 74 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Carlow","65 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Carlow","75 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Carlow","All ages","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Donegal","0 - 64 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Donegal","0 - 74 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Donegal","65 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Donegal","75 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Donegal","All ages","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Dublin","0 - 64 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Dublin","0 - 74 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Dublin","65 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Dublin","75 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Dublin","All ages","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Galway","0 - 64 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Galway","0 - 74 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Galway","65 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Galway","75 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Galway","All ages","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Kildare","0 - 64 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Kildare","0 - 74 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Kildare","65 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Kildare","75 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Kildare","All ages","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Kilkenny","0 - 64 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Kilkenny","0 - 74 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Kilkenny","65 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Kilkenny","75 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Kilkenny","All ages","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Kerry","0 - 64 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Kerry","0 - 74 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Kerry","65 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Kerry","75 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Kerry","All ages","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Longford","0 - 64 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Longford","0 - 74 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Longford","65 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Longford","75 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Longford","All ages","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Louth","0 - 64 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Louth","0 - 74 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Louth","65 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Louth","75 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Louth","All ages","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Limerick","0 - 64 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Limerick","0 - 74 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Limerick","65 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Limerick","75 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Limerick","All ages","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Leitrim","0 - 64 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Leitrim","0 - 74 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Leitrim","65 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Leitrim","75 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Leitrim","All ages","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Laois","0 - 64 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Laois","0 - 74 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Laois","65 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Laois","75 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Laois","All ages","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Meath","0 - 64 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Meath","0 - 74 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Meath","65 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Meath","75 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Meath","All ages","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Monaghan","0 - 64 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Monaghan","0 - 74 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Monaghan","65 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Monaghan","75 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Monaghan","All ages","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Mayo","0 - 64 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Mayo","0 - 74 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Mayo","65 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Mayo","75 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Mayo","All ages","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Offaly","0 - 64 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Offaly","0 - 74 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Offaly","65 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Offaly","75 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Offaly","All ages","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Roscommon","0 - 64 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Roscommon","0 - 74 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Roscommon","65 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Roscommon","75 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Roscommon","All ages","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Sligo","0 - 64 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Sligo","0 - 74 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Sligo","65 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Sligo","75 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Sligo","All ages","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Tipperary","0 - 64 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Tipperary","0 - 74 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Tipperary","65 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Tipperary","75 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Tipperary","All ages","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Waterford","0 - 64 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Waterford","0 - 74 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Waterford","65 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Waterford","75 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Waterford","All ages","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Wicklow","0 - 64 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Wicklow","0 - 74 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Wicklow","65 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Wicklow","75 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Wicklow","All ages","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Westmeath","0 - 64 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Westmeath","0 - 74 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Westmeath","65 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Westmeath","75 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Westmeath","All ages","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Wexford","0 - 64 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Wexford","0 - 74 years","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Wexford","65 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Wexford","75 years and over","Accidents","Rate",""
"Age-standardised mortality rate","2023","Female","Co. Wexford","All ages","Accidents","Rate",""
"Lower C.I for ASMR","2021","Both sexes","Ireland","0 - 64 years","Accidents","Rate","13.49"
"Lower C.I for ASMR","2021","Both sexes","Ireland","0 - 74 years","Accidents","Rate","15.19"
"Lower C.I for ASMR","2021","Both sexes","Ireland","65 years and over","Accidents","Rate","70.58"
"Lower C.I for ASMR","2021","Both sexes","Ireland","75 years and over","Accidents","Rate","119.65"
"Lower C.I for ASMR","2021","Both sexes","Ireland","All ages","Accidents","Rate","25.27"
"Lower C.I for ASMR","2021","Both sexes","Co. Clare","0 - 64 years","Accidents","Rate","6.16"
"Lower C.I for ASMR","2021","Both sexes","Co. Clare","0 - 74 years","Accidents","Rate","7.59"
"Lower C.I for ASMR","2021","Both sexes","Co. Clare","65 years and over","Accidents","Rate","38.77"
"Lower C.I for ASMR","2021","Both sexes","Co. Clare","75 years and over","Accidents","Rate","60.48"
"Lower C.I for ASMR","2021","Both sexes","Co. Clare","All ages","Accidents","Rate","16.64"
"Lower C.I for ASMR","2021","Both sexes","Co. Cork","0 - 64 years","Accidents","Rate","10.78"
"Lower C.I for ASMR","2021","Both sexes","Co. Cork","0 - 74 years","Accidents","Rate","14.85"
"Lower C.I for ASMR","2021","Both sexes","Co. Cork","65 years and over","Accidents","Rate","66.76"
"Lower C.I for ASMR","2021","Both sexes","Co. Cork","75 years and over","Accidents","Rate","89.55"
"Lower C.I for ASMR","2021","Both sexes","Co. Cork","All ages","Accidents","Rate","23.61"
"Lower C.I for ASMR","2021","Both sexes","Co. Cavan","0 - 64 years","Accidents","Rate","7.16"
"Lower C.I for ASMR","2021","Both sexes","Co. Cavan","0 - 74 years","Accidents","Rate","14.37"
"Lower C.I for ASMR","2021","Both sexes","Co. Cavan","65 years and over","Accidents","Rate","61.61"
"Lower C.I for ASMR","2021","Both sexes","Co. Cavan","75 years and over","Accidents","Rate","48.36"
"Lower C.I for ASMR","2021","Both sexes","Co. Cavan","All ages","Accidents","Rate","23.63"
"Lower C.I for ASMR","2021","Both sexes","Co. Carlow","0 - 64 years","Accidents","Rate","6.37"
"Lower C.I for ASMR","2021","Both sexes","Co. Carlow","0 - 74 years","Accidents","Rate","9.89"
"Lower C.I for ASMR","2021","Both sexes","Co. Carlow","65 years and over","Accidents","Rate","13.58"
"Lower C.I for ASMR","2021","Both sexes","Co. Carlow","75 years and over","Accidents","Rate","0"
"Lower C.I for ASMR","2021","Both sexes","Co. Carlow","All ages","Accidents","Rate","14.04"
"Lower C.I for ASMR","2021","Both sexes","Co. Donegal","0 - 64 years","Accidents","Rate","4.47"
